id,name,pagerank
1,"Hisashi Suzuki",0.000114082271982723
2,"Suguru Arimoto",0.000114082271982723
3,"Philip A. Chou",2.28167374219788e-05
4,"John C. Platt",0.000527831578519316
5,"Alan H. Barr",0.000103689455827171
6,"Ralph Linsker",2.28167374219788e-05
7,"Gene A. Tagliarini",0.000114082271982723
8,"Edward W. Page",0.000114082271982723
9,"Ken Hsu",8.78493121538432e-05
10,"David Brady",8.78493121538432e-05
11,"Demetri Psaltis",0.000187029656274929
12,"Frank H. Eeckman",0.000114082271982723
13,"Amir F. Atiya",8.03718215091002e-05
14,"Christopher L. Scofield",9.19990865885439e-05
15,"Stuart Mackie",5.84406102931004e-05
16,"Hans Peter Graf",0.000244375834523414
17,"Daniel B. Schwartz",0.000109100277021568
18,"John S. Denker",0.000372376973656769
19,"Manoel Fernando Tenorio",0.000224808441216877
20,"Paolo Gaudiano",2.28167374219788e-05
21,"C. Lee Giles",0.000521181201713519
22,"R. D. Griffin",6.28067564336771e-05
23,"T. Maxwell",6.28067564336771e-05
24,"Eberhard E. Fetz",0.000114082271982723
25,"Ben S. Wittner",4.18800370000764e-05
26,"Tomaso Poggio",0.000542591186685017
27,"Anya C. Hurlbert",0.000114082271982723
28,"Alexander Moopenn",0.000151984073759139
29,"H. Langenbacher",9.74712097641192e-05
30,"A. P. Thakoor",0.000151984073759139
31,"S. K. Khanna",9.74712097641193e-05
32,"Harrison MonFook Leong",2.28167374219788e-05
33,"Les E. Atlas",0.000294126568824892
34,"Toshiteru Homma",5.36541972382275e-05
35,"Robert J. Marks II",0.000208637017066924
36,"Darryl D. Coon",0.000114082271982723
37,"A. G. Unil Perera",0.000114082271982723
38,"Alexander Singer",4.22404810758293e-05
39,"John P. Donoghue",0.000120144389363439
40,"James M. Bower",0.000456633045642384
41,"Christof Koch",0.00141277071354591
42,"Jin Luo",0.000214761978942938
43,"Carver Mead",0.000196909031128882
44,"James Hutchinson",6.33083930076504e-05
45,"William Y. Huang",7.57555405289429e-05
