id,name
1,"Hisashi Suzuki"
2,"Suguru Arimoto"
3,"Philip A. Chou"
252,"Eric B. Baum"
7094,"Frank Wilczek"
4,"John C. Platt"
5,"Alan H. Barr"
6,"Ralph Linsker"
7,"Gene A. Tagliarini"
8,"Edward W. Page"
9,"Ken Hsu"
10,"David Brady"
11,"Demetri Psaltis"
12,"Frank H. Eeckman"
13,"Amir F. Atiya"
14,"Christopher L. Scofield"
15,"Stuart Mackie"
16,"Hans Peter Graf"
17,"Daniel B. Schwartz"
18,"John S. Denker"
19,"Manoel Fernando Tenorio"
20,"Paolo Gaudiano"
21,"C. Lee Giles"
22,"R. D. Griffin"
23,"T. Maxwell"
24,"Eberhard E. Fetz"
25,"Ben S. Wittner"
7100,"Tomaso A. Poggio"
27,"Anya C. Hurlbert"
28,"Alexander Moopenn"
29,"H. Langenbacher"
30,"A. P. Thakoor"
31,"S. K. Khanna"
32,"Harrison MonFook Leong"
33,"Les E. Atlas"
34,"Toshiteru Homma"
35,"Robert J. Marks II"
7085,"Douglas L. Reilly"
7086,"Charles Elbaum"
1160,"Leon N. Cooper"
36,"Darryl D. Coon"
37,"A. G. Unil Perera"
38,"Alexander Singer"
39,"John P. Donoghue"
40,"James M. Bower"
41,"Christof Koch"
42,"Jin Luo"
43,"Carver Mead"
44,"James Hutchinson"
45,"William Y. Huang"
46,"Richard P. Lippmann"
47,"Alan F. Murray"
48,"Anthony V. W. Smith"
49,"Zoe F. Butler"
50,"Manuel F. Fern?ndez"
51,"Charles M. Marcus"
52,"R. M. Westervelt"
53,"Gerald Tesauro"
54,"Terrence J. Sejnowski"
55,"Joshua Chover"
56,"Jacques J. Vidal"
57,"John Haggerty"
486,"Bruce E. Rosen"
487,"James M. Goodwin"
58,"Matthew A. Wilson"
59,"Sherryl Tomboulian"
60,"Anthony N. Michel"
61,"Jay A. Farrell"
62,"Wolfgang Porod"
63,"Ronald H. Silverman"
64,"Andrew S. Noetzel"
65,"Clifford Lau"
66,"Vicente Honrubia"
67,"James D. Keeler"
68,"Yiu-Fai Wong"
69,"Jashojiban Banik"
70,"Mario P. Vecchi"
71,"Jawad A. Salehi"
72,"A. J. Robinson"
7102,"F. Fallside"
7081,"Richard Granger"
7082,"Jose Ambros-Ingerson"
7083,"Howard Henry"
7084,"Gary Lynch"
74,"Ju-Seog Jang"
75,"Soo-Young Lee"
76,"Sang-Yung Shin"
77,"Anthony Kuh"
78,"Enis Ers?"
79,"Henning Tolle"
357,"Tzi-Dar Chiueh"
7078,"Rodney Goodman"
80,"Bruce A. MacDonald"
81,"F. H. Schuling"
82,"H. A. K. Mastebroek"
83,"W. H. Zaagman"
7087,"Hendricus G. Loos"
7095,"J. F. Shepanski"
7096,"S. A. Macy"
7097,"Dan Hammerstrom"
84,"John L. Wyatt Jr."
85,"D. L. Standley"
86,"John Y. Cheung"
87,"Massoud Omidvar"
88,"Ralph M. Siegel"
89,"Paul Smolensky"
90,"Alan S. Lapedes"
91,"Robert M. Farber"
92,"Michael Fleisher"
7080,"Jagmeet S. Kanwal"
93,"Michael T. Gately"
94,"Yaser S. Abu-Mostafa"
95,"Thomas Petsche"
96,"Bradley W. Dickinson"
97,"Stephen Jose Hanson"
98,"David J. Burr"
99,"Pierre Baldi"
100,"Santosh S. Venkatesh"
101,"Fernando J. Pineda"
102,"James C. Houk"
103,"Andreas Stafylopatis"
104,"Marios D. Dikaiakos"
105,"D. Kontoravdis"
106,"Jehoshua Bruck"
107,"Joseph W. Goodman"
108,"William Baxter"
109,"Bruce Dow"
110,"Mark Derthick"
111,"Joe Tebelskis"
322,"Amir Dembo"
7079,"Ofer Zeitouni"
112,"Guo-Zheng Sun"
113,"Yee-Chun Lee"
114,"Hsing-Hen Chen"
115,"Richard M. Golden"
116,"W. Scott Stornetta"
117,"Tad Hogg"
118,"Bernardo A. Huberman"
119,"Seho Oh"
120,"James A. Ritcey"
121,"Geoffrey E. Hinton"
122,"James L. McClelland"
123,"Richard C. Windecker"
124,"Joshua Alspector"
125,"Robert B. Allen"
126,"Victor Hu"
127,"Srinagesh Satyanarayana"
128,"Harry Wechsler"
129,"George Lee Zimmerman"
130,"Lyle J. Borg-Graham"
131,"J. Bernasconi"
132,"L. Richard Carley"
7088,"D. Lehmann"
7093,"D. Brandeis"
7090,"A. Horst"
7091,"H. Ozaki"
7092,"I. Pal"
133,"G?rard Dreyfus"
134,"Isabelle Guyon"
135,"Jean-Pierre Nadal"
136,"L?on Personnaz"
137,"Nathan H. Brown Jr."
138,"Andr? J. Noest"
139,"Ronald Rosenfeld"
140,"David S. Touretzky"
308,"Bartlett W. Mel"
141,"Norberto M. Grzywacz"
142,"Franklin R. Amthor"
143,"David B. Parker"
7107,"Mark Gluck"
145,"Eric S. Reifsnider"
7112,"Dean A. Pomerleau"
147,"Allen M. Waxman"
148,"Michael Seibert"
149,"Robert K. Cunningham"
150,"Jian Wu"
7116,"James Hendler"
152,"Bahram Nabet"
153,"Robert B. Darling"
154,"Robert B. Pinter"
