id,paper_id,label_id
1,1,7
2,1,8
3,1,10
4,1,11
5,2,3
6,2,4
7,2,10
8,3,8
9,3,10
10,3,12
11,4,1
12,4,4
13,4,8
14,4,10
15,5,1
16,5,8
17,5,10
18,6,1
19,6,3
20,6,8
21,7,8
22,7,10
23,7,11
24,8,1
25,8,3
26,8,8
27,8,10
28,8,11
29,9,1
30,9,4
31,9,8
32,9,9
33,10,1
34,10,3
35,10,8
36,11,8
37,12,3
38,12,7
39,12,8
40,12,10
41,12,11
42,13,3
43,13,8
44,14,1
45,14,8
46,14,11
47,15,1
48,15,3
49,15,8
50,15,10
51,16,8
52,16,10
53,17,5
54,17,8
55,17,11
56,18,3
57,18,8
58,19,1
59,19,7
60,19,8
61,19,10
62,20,1
63,20,3
64,20,8
65,20,10
66,21,3
67,21,4
68,21,8
69,21,10
70,22,8
71,23,1
72,23,3
73,23,8
74,24,3
75,24,5
76,24,8
77,24,10
78,24,11
79,25,1
80,25,8
81,25,10
82,25,11
83,26,5
84,26,8
85,26,11
86,27,3
87,27,7
88,27,8
89,28,1
90,28,7
91,28,10
92,28,11
93,29,1
94,29,3
95,29,8
96,29,10
97,30,1
98,30,7
99,30,8
100,30,11
101,31,1
102,31,3
103,31,10
104,32,1
105,32,3
106,32,8
107,32,10
108,33,1
109,33,10
110,34,1
111,34,3
112,34,8
113,34,11
114,35,7
115,35,8
116,35,10
117,36,4
118,36,8
119,36,10
120,37,1
121,37,3
122,37,8
123,37,11
124,38,3
125,38,8
126,38,10
127,38,11
128,39,3
129,39,7
130,39,8
131,39,10
132,40,8
133,40,11
134,41,3
135,41,8
136,41,10
137,42,1
138,42,8
139,42,11
140,44,3
141,44,8
142,44,10
143,44,11
144,45,8
145,45,12
146,46,3
147,46,8
148,46,10
149,47,1
150,47,7
151,47,8
152,47,10
153,48,5
154,48,8
155,49,1
156,49,8
157,50,1
158,50,8
159,50,10
160,50,11
161,51,3
162,51,8
163,51,9
164,51,11
165,51,12
166,52,8
167,52,10
168,52,11
169,53,1
170,53,7
171,53,8
172,53,10
173,54,8
174,54,10
175,55,1
176,55,3
177,55,4
178,55,7
179,56,1
180,56,7
181,56,8
182,56,11
183,58,7
184,58,8
185,58,9
186,58,11
187,59,7
188,59,8
189,59,10
190,59,11
191,60,3
192,60,4
193,60,8
194,60,10
195,61,1
196,61,3
197,61,8
198,61,10
199,61,11
200,62,3
201,62,8
202,62,10
203,63,3
204,63,4
205,63,8
206,63,10
207,64,8
208,65,1
209,65,4
210,65,8
211,65,10
212,65,11
213,66,8
214,66,10
215,66,12
216,67,1
217,67,4
218,67,8
219,68,8
220,68,10
221,69,3
222,69,7
223,69,8
224,69,10
225,70,4
226,70,7
227,70,8
228,71,1
229,71,2
230,71,8
231,71,10
232,71,11
233,72,1
234,72,8
235,72,10
236,73,3
237,73,4
238,73,7
239,73,8
240,74,5
241,74,7
242,74,8
243,75,7
244,75,8
245,75,10
246,76,8
247,76,10
248,76,11
249,77,1
250,77,4
251,77,8
252,78,1
253,78,8
254,78,9
255,78,11
256,79,1
257,79,8
258,79,10
259,80,1
260,80,8
261,80,10
262,81,3
263,81,5
264,81,11
265,82,4
266,83,1
267,83,8
268,84,3
269,84,8
270,84,10
271,85,1
272,85,4
273,85,8
274,85,12
275,86,1
276,86,8
277,86,10
278,86,11
279,87,3
280,87,7
281,87,8
282,87,10
283,88,7
284,88,8
285,88,11
286,89,7
287,89,8
288,90,1
289,90,3
290,90,8
291,90,10
292,91,1
293,91,3
294,91,7
295,91,8
296,91,10
297,92,1
298,92,7
299,92,8
300,92,11
301,93,1
302,93,3
303,93,8
304,94,1
305,94,3
306,94,8
307,94,10
308,95,8
309,95,11
310,97,1
311,97,3
312,97,8
313,97,11
314,98,1
315,98,2
316,98,3
317,98,7
318,98,8
319,98,11
320,98,12
321,99,1
322,99,8
